N,	d,	Ni,	delta(N),	Im/Ig

1.1,	0,	216,
1.2,	0,	234,
1.3,	0,	210,
1.4,	0,	242,
1.5,	0,	214,
1.6,	0,	240,

2.1,	19.2,	201,
2.2,	20,	176,
2.3,	20.1,	192,
2.4,	19.2	229,
2.5,	20,	179,
2.6,	20.1,	210,

3.1,	38.2,	217,		
3.2,	38.7,	163,
3.3,	40.1,	187,
3.4,    38.2,   213,
3.5,    38.7,	173,
3.6,    40.1,	180,

4.1,	57.3,	205,	
4.2,	58.6,	173,
4.3,	59.8,	188,	
4.4,	57.3,	204,
4.5,	58.6,	179,
4.6,	59.8,	198,

5.1,    76.3,	192,    
5.2,    78.6,	154,
5.3,    79.6,	182,	    
5.4,    76.3,	187,
5.5,    78.6,	158,
5.6,    79.6,	182,

6.1,    95.3,   192,
6.2,    98.4,   159,
6.3,    99.6,   171,    
6.4,    95.3,   
6.5,    98.4,   
6.6,    99.6,   	


