U[мВ]	f[кГц]
-0.91	804.932
-0.81	804.97
-0.75	804.9
-0.73	804.923
-0.7	804.973
-0.69	805
-0.64	805.156
-0.61	805.26
-0.57	805.53
-0.53	805.9
-0.5	806.3
-0.46	806.9
-0.41	808.2
-0.37	810.1
-0.36	810.6
-0.35	811.2
-0.34	811.5
-0.33	812
-0.32	813
-0.31	813.8
-0.3	814.5
-0.29	815.4
-0.28	816.4
-0.27	817.3
-0.26	818.4
-0.25	819.6
-0.24	820.6
-0.23	822.6
-0.22	824
-0.21	824.5
-0.2	826.5
-0.19	828.3
-0.18	829.5
-0.17	831.5
-0.16	832.6
-0.15	833.7
-0.14	834.7
-0.13	836.5
-0.12	837.6
-0.11	838.6
-0.1	839
-0.09	841.4
-0.08	841.8
-0.06	843.6
-0.03	845.4
-0.01	846.3
0.05	848.8
0.09	850
0.12	850.6
0.17	851.6
0.23	852.4
0.28	852.9
0.33	853.3
0.38	853.7
0.43	854
0.48	854.4
0.53	854.6
0.58	854.9
0.63	855.1
0.68	855.3
