voltage[V],time[ns]
0.3637,0.0000
0.3234,1.0000
0.2702,2.0000
0.2062,3.0000
0.1340,4.0000
0.0564,5.0000
-0.0233,6.0000
-0.1022,7.0000
-0.1770,8.0000
-0.2447,9.0000
-0.3027,10.0000
-0.3486,11.0000
-0.3806,12.0000
-0.3975,13.0000
-0.3985,14.0000
-0.3836,15.0000
-0.3534,16.0000
-0.3091,17.0000
-0.2525,18.0000
-0.1858,19.0000
-0.1118,20.0000
-0.0332,21.0000
0.0466,22.0000
0.1246,23.0000
0.1976,24.0000
0.2628,25.0000
0.3175,26.0000
0.3595,27.0000
0.3872,28.0000
0.3994,29.0000
0.3957,30.0000
0.3763,31.0000
0.3418,32.0000
0.2938,33.0000
0.2340,34.0000
0.1648,35.0000
0.0892,36.0000
0.0099,37.0000
-0.0697,38.0000
-0.1466,39.0000
-0.2176,40.0000
-0.2799,41.0000
-0.3311,42.0000
-0.3691,43.0000
-0.3924,44.0000
-0.4000,45.0000
-0.3917,46.0000
-0.3677,47.0000
-0.3291,48.0000
-0.2774,49.0000
-0.2146,50.0000
